bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_6)-(z_pT_Bin_5),19495.015029594033,98.56252374991709,-0.40739999960310325,0.0009202984918462997,0.02759999995763448,0.0006802156987785381,122.59226315540468,21.0,5.837726816924032,False,False
(Q2_y_Bin_6)-(z_pT_Bin_6),19064.07473920804,117.61331500153938,-0.04965000073491667,0.00875331658352202,-0.013421018540736547,0.016692924174273076,10.331270986109864,21.0,0.49196528505285064,False,False
(Q2_y_Bin_6)-(z_pT_Bin_7),19044.58952759551,159.51689586390057,-0.05480255706745237,0.01305690531771574,0.009769064966284728,0.015340963872894336,51.639245794468806,19.0,2.717855041814148,False,False
(Q2_y_Bin_6)-(z_pT_Bin_8),18507.39739271407,171.39202599925557,-0.10602289427547189,0.015409446085637948,0.024295412936722282,0.016309556819793257,42.35403227619919,17.0,2.491413663305835,False,False
(Q2_y_Bin_6)-(z_pT_Bin_9),18495.640540596025,124.20777179294237,-0.16005558908601736,0.011042529307082369,0.018059592232035706,0.008604639149554352,24.537913346754262,19.0,1.2914691235133822,False,False
(Q2_y_Bin_6)-(z_pT_Bin_10),17834.55087336368,99.28292743775091,-0.2464672647548712,0.008674061468586791,0.026278743430440038,0.008240294005688218,14.718095880789164,21.0,0.7008617086090079,False,False
(Q2_y_Bin_6)-(z_pT_Bin_11),14415.341871762992,77.42563812333356,-0.3392999999999054,0.0003524188511497828,0.07529999999591644,0.0008412544873184352,235.64063124815124,21.0,11.220982440388154,False,False
(Q2_y_Bin_6)-(z_pT_Bin_12),23684.83800867664,119.22880293238632,-0.07880000059706155,0.0006208160344674946,0.01825000102327798,0.0008967116685105782,91.8590836525182,21.0,4.374242078691343,False,False
(Q2_y_Bin_6)-(z_pT_Bin_13),23499.334750686874,210.5160124238082,-0.06070545136425801,0.014151784527382059,-0.0033563293872621164,0.0019247137983009412,38.09212112838378,17.0,2.240713007551987,False,False
(Q2_y_Bin_6)-(z_pT_Bin_14),22294.09793053033,122.60181837511482,-0.1150170280623443,0.008815226992337312,-0.009149992638452125,0.005405221496045354,25.466142937868312,19.0,1.340323312519385,False,False
(Q2_y_Bin_6)-(z_pT_Bin_15),21314.13943910789,104.06171446591543,-0.15130173217045528,0.007477064810092707,0.0009000047731898821,0.0017196476005092167,52.03065715259671,21.0,2.477650340599843,False,False
(Q2_y_Bin_6)-(z_pT_Bin_16),19539.516259848206,90.21401949923347,-0.23959868568071854,0.006574047529588997,0.02083077016749961,0.012275839980860542,34.761960021782215,21.0,1.655331429608677,False,False
(Q2_y_Bin_6)-(z_pT_Bin_17),25347.167319260865,108.68213165290035,-0.0897500000040465,0.0006359047745899127,0.010050000181358506,0.0013503127492989113,101.16891340269932,21.0,4.817567304890444,False,False
