bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_2)-(z_pT_Bin_32),35442.324145245,227.74317333209183,-0.05696150288407243,0.00938764208036083,-0.03490677052104812,0.009565657152454944,34.23347560881985,21.0,1.6301655051818977,False,False
(Q2_y_Bin_2)-(z_pT_Bin_33),31538.730797415563,194.23739109795315,-0.06438824600684141,0.008679304765835675,-0.016287958215830088,0.011763478814250657,25.692008667694264,21.0,1.2234289841759174,False,False
(Q2_y_Bin_2)-(z_pT_Bin_34),19892.518930231356,148.64380333310146,-0.12259898422631206,0.010679427505156422,0.004676513997625005,0.0034814620499578758,19.919191664749235,21.0,0.9485329364166303,False,False
(Q2_y_Bin_3)-(z_pT_Bin_1),13532.57416942347,194.24662979851018,-0.03994892734358746,0.016576772849650437,0.007870579269449772,0.00572771039354917,26.438938132524683,21.0,1.2589970539297468,False,False
(Q2_y_Bin_3)-(z_pT_Bin_2),14355.976750907836,199.69898825144264,-0.15580807700531774,0.019972406950165597,0.016461653833150916,0.011181755859722583,33.17335272909667,21.0,1.5796834632903176,False,False
(Q2_y_Bin_3)-(z_pT_Bin_3),14119.338674517316,215.18798858911305,-0.14724935626143248,0.023869302432497345,0.05214447780605544,0.019291799922869408,13.625831146381792,20.0,0.6812915573190896,False,False
(Q2_y_Bin_3)-(z_pT_Bin_4),10969.535242550819,217.50036669693145,-0.23995239372750624,0.03326959793701918,0.01577523634707064,0.009734908128887651,19.345411453806516,18.0,1.0747450807670287,False,False
(Q2_y_Bin_3)-(z_pT_Bin_5),3693.278026874203,87.32622995226734,-0.22007159825847897,0.03848840453886214,0.03681441956075419,0.026838154688250463,16.67195734704284,17.0,0.9807033733554613,False,False
(Q2_y_Bin_3)-(z_pT_Bin_7),26220.056238114445,220.32554035126304,-0.05360340646186168,0.012402561253098333,0.030807015245921963,0.01076438737991581,17.720689776689426,21.0,0.843842370318544,False,False
(Q2_y_Bin_3)-(z_pT_Bin_8),27183.37672750804,217.25999297917406,-0.033244035644606824,0.0012800742621792427,0.023995593553810285,0.010049728851935315,49.699385930676506,20.0,2.4849692965338255,False,False
(Q2_y_Bin_3)-(z_pT_Bin_9),28540.907729190098,252.46810657766036,-0.12644496911793288,0.014437195759087654,0.009494656268163497,0.005646274582651358,35.34017275229743,19.0,1.8600090922261803,False,False
(Q2_y_Bin_3)-(z_pT_Bin_10),22778.71769221096,193.68565102793946,-0.19788091599964297,0.013804822322794216,0.010609886566783475,0.006957431718293911,35.32464654595312,19.0,1.8591919234712169,False,False
(Q2_y_Bin_3)-(z_pT_Bin_11),23566.15387843199,171.19407963931553,-0.30799545318196314,0.011110622688533744,0.048693606868049806,0.010592915153821731,29.58589711641396,21.0,1.40885224363876,False,False
(Q2_y_Bin_3)-(z_pT_Bin_12),24397.07122014073,204.5274044554808,-0.10000000002122658,0.000530117839260151,-0.038669490771234084,0.011454339816820211,178.95472474752074,21.0,8.521653559405749,False,False
(Q2_y_Bin_3)-(z_pT_Bin_13),28451.125205206798,228.19527336736428,-0.006061456284442337,0.002833971369455282,0.019808202886599822,0.014643343771901888,38.12094046700662,20.0,1.906047023350331,False,False
(Q2_y_Bin_3)-(z_pT_Bin_14),28626.57831785996,263.1191485442723,-0.06343572088755155,0.014311611993292343,0.007264187632033412,0.004202061322008813,39.58995576911848,19.0,2.0836818825851835,False,False
(Q2_y_Bin_3)-(z_pT_Bin_15),28347.82100937093,205.28603259752526,-0.13367082471382571,0.011291514217979234,-0.012327891218292066,0.009141454844962388,23.125517362738396,20.0,1.1562758681369198,False,False
(Q2_y_Bin_3)-(z_pT_Bin_16),22059.89433484025,156.04310023003745,-0.15800907689584945,0.010526147365135699,-0.01864311624067322,0.013623602755097974,20.30122644287336,21.0,0.9667250687082553,False,False
(Q2_y_Bin_3)-(z_pT_Bin_17),19225.2657719208,144.5581057530526,-0.006677853553589035,0.0002311914004085782,-0.022914158772742502,0.0095807149226552,616.2765332861165,21.0,29.34650158505317,False,False
(Q2_y_Bin_3)-(z_pT_Bin_18),21373.76184216706,172.02568618444639,-0.10000000002364258,0.0005895353342299792,-0.04267920327058972,0.011575606045519833,140.78688457079627,21.0,6.704137360514109,False,False
(Q2_y_Bin_3)-(z_pT_Bin_19),26752.20251897676,287.05303799926696,-0.053634975897180706,0.01618762543321968,-0.002743144658745298,0.002044582209140002,27.27841054346675,19.0,1.4357058180771975,False,False
(Q2_y_Bin_3)-(z_pT_Bin_20),27025.56417763734,208.8362272346094,-0.06486745136167611,0.011673022653585951,-0.030903043212293233,0.010713804355577476,25.926036056016503,19.0,1.3645282134745529,False,False
(Q2_y_Bin_3)-(z_pT_Bin_21),26411.674587018413,177.95232807599496,-0.12099828097371632,0.009970332809703747,-0.06491764292120446,0.01057468167744758,16.14778867999855,21.0,0.768942318095169,False,False
(Q2_y_Bin_3)-(z_pT_Bin_22),19266.549774049963,142.9844824526408,-0.19933580639191398,0.0968517104914461,-0.0004841027545299484,0.0005220703693223948,34.418307263334604,21.0,1.638967012539743,False,False
(Q2_y_Bin_3)-(z_pT_Bin_23),16119.54506131194,151.09175203789073,-0.21839164139396638,0.004918339826738366,0.07086619204731592,0.009851881701794282,38.22385773200898,21.0,1.8201837015242373,False,False
(Q2_y_Bin_3)-(z_pT_Bin_24),39019.321185260196,318.0355893184169,0.04744137487933885,0.011807210930211285,-0.03582388919316084,0.01134626406894861,33.27482915502246,21.0,1.5845156740486885,False,False
(Q2_y_Bin_3)-(z_pT_Bin_25),49421.2532859805,458.8343918887913,-0.017842555056999533,0.013369878208819005,-0.009030541855734238,0.005180357721847311,28.547393170405787,19.0,1.5024943773897783,False,False
(Q2_y_Bin_3)-(z_pT_Bin_26),46652.18052317207,292.08976513762536,-0.0662666095845936,0.009361758635886754,-0.036315814433236324,0.009720395466773779,21.34807553863124,21.0,1.0165750256491066,False,False
(Q2_y_Bin_3)-(z_pT_Bin_27),42993.86144158928,253.989191288656,-0.1013174641087654,0.008571783118157962,-0.025538666165624602,0.008266375307039926,37.877893834706796,21.0,1.803709230224133,False,False
(Q2_y_Bin_3)-(z_pT_Bin_28),28815.930342844735,218.44681424676855,-0.07859619429109048,0.0006624059315223085,0.005955086959784967,0.0038220051898458425,182.62379359758572,21.0,8.696371123694558,False,False
(Q2_y_Bin_3)-(z_pT_Bin_29),8911.54530391275,116.95049339566503,-0.07500000014688966,0.0015428823640063621,-0.028365268388192356,0.022591268905387915,56.59038951955064,21.0,2.6947804533119353,False,False
(Q2_y_Bin_4)-(z_pT_Bin_7),12907.148549512523,185.36817631898248,-0.049791107241153654,0.018664751020524777,0.05633869906344447,0.018532219295018925,27.542927436007254,21.0,1.3115679731432026,False,False
(Q2_y_Bin_4)-(z_pT_Bin_8),11584.113657405886,171.88475604346695,-0.14570367106508825,0.021709427324881014,0.027147689131987236,0.02036042836531119,20.142714578363606,21.0,0.9591768846839812,False,False
(Q2_y_Bin_4)-(z_pT_Bin_9),6560.501705158394,138.48013685994374,-0.16590546357890165,0.03291931436674517,0.045285529533735276,0.03361508265032774,24.726593601845977,19.0,1.3013996632550515,False,False
(Q2_y_Bin_4)-(z_pT_Bin_10),647.5648243302387,20.537149938854043,-0.3489502379723758,0.04854237757655805,-0.03082397754167971,0.012187454066963446,17.18098699158262,19.0,0.9042624732411906,False,False
(Q2_y_Bin_4)-(z_pT_Bin_11),nan,0.0,-0.22,0.0,1.0,0.0,0.0,21.0,0.0,True,False
(Q2_y_Bin_4)-(z_pT_Bin_13),17431.46031193145,170.65803062164014,-0.052137851925135384,0.013722173957070278,-0.022481754886898155,0.016580612210779555,16.613224193782536,21.0,0.7911059139896446,False,False
(Q2_y_Bin_4)-(z_pT_Bin_14),19005.817197927227,180.46156285870347,-0.10331569311103493,0.01420524218071964,0.0026912340143890857,0.0017502354981692725,38.445965390600264,21.0,1.8307602566952508,False,False
(Q2_y_Bin_4)-(z_pT_Bin_15),18332.46487423357,225.27825385511824,-0.12715136224678364,0.01936672305182078,-0.02432336993242956,0.018218088569912246,20.121793210749523,19.0,1.0590417479341854,False,False
(Q2_y_Bin_4)-(z_pT_Bin_16),15657.86409319427,195.2901893660228,-0.20856228071088384,0.0044311396649362594,0.001622217997312305,0.0019930255691057554,18.401497752176667,19.0,0.9684998816935088,False,False
(Q2_y_Bin_4)-(z_pT_Bin_17),14178.72106707242,215.47401063945836,0.03029562912486976,0.022691727777740586,-0.004311404907011323,0.002859003845311855,16.872537954961125,21.0,0.8034541883314821,False,False
(Q2_y_Bin_4)-(z_pT_Bin_19),17050.127935473316,164.39280390234126,-0.050417138653127976,0.01356904672445737,0.007680885424216917,0.004847926730609648,23.973155678115162,21.0,1.1415788418150077,False,False
(Q2_y_Bin_4)-(z_pT_Bin_20),19766.64644350703,200.97712635064454,-0.04681034393160735,0.014574931454121635,-0.05983740632207839,0.014216405598391591,40.28655034729832,21.0,1.9184071593951582,False,False
(Q2_y_Bin_4)-(z_pT_Bin_21),20403.33209178749,211.2634733359755,-0.0795110370229266,0.015630053354384263,-0.046363765460026296,0.01425637413265059,13.442620113329697,19.0,0.7075063217541946,False,False
(Q2_y_Bin_4)-(z_pT_Bin_22),15633.057417218322,173.64968335849426,-0.19542529254084173,0.01631573417501994,-0.027457657652496515,0.02031973056699283,28.03142382789791,21.0,1.3348297060903767,False,False
(Q2_y_Bin_4)-(z_pT_Bin_23),30669.893267951968,334.6204788962423,-0.07500000026551971,0.0011925881610226272,-0.008955053617657168,0.017801192372586306,61.64494884679689,21.0,2.935473754609376,False,False
(Q2_y_Bin_4)-(z_pT_Bin_25),23152.33342426812,196.91234708603952,-0.027228587846227698,0.01092151071178464,-0.03146589075306984,0.011400687362311524,37.19292714193543,21.0,1.7710917686635919,False,False
(Q2_y_Bin_4)-(z_pT_Bin_26),26086.841893958874,282.7639574233963,-0.07776973827343162,0.016867979708691156,-0.04610147467180407,0.013928343734324906,14.109332432239075,19.0,0.7425964438020566,False,False
(Q2_y_Bin_4)-(z_pT_Bin_27),28002.42114606449,232.2390301060732,-0.09126152040152226,0.01224600478676953,-0.04136380800405813,0.012291535793894793,34.366132037988834,20.0,1.7183066018994417,False,False
(Q2_y_Bin_4)-(z_pT_Bin_28),21710.401453854756,213.42540790014027,-0.15689517926318253,0.014755613269449644,-0.0008991536450750119,0.0009022287948683163,58.577718512939065,21.0,2.7894151672828125,False,False
(Q2_y_Bin_4)-(z_pT_Bin_29),58535.875826610085,590.784628815356,-0.05000000007583695,0.0012082723348631717,-0.040592012683864066,0.014134847537661963,69.10488770607618,21.0,3.2907089383845802,False,False
(Q2_y_Bin_4)-(z_pT_Bin_31),48602.45269152112,466.6153086853992,-0.014872302652267633,0.010837337799873384,-0.031040707639657803,0.012252324310155452,22.04213251310162,21.0,1.0496253577667438,False,False
(Q2_y_Bin_4)-(z_pT_Bin_32),52476.1801922153,475.39187723346186,-0.0330284083745253,0.012216074493193533,-0.08111887342017564,0.01324409466359143,14.76411839681985,19.0,0.7770588629905184,False,False
(Q2_y_Bin_4)-(z_pT_Bin_33),51894.4519291558,449.66948374050844,-0.10612017270028223,0.012750892003079911,-0.01530516716728118,0.011370956028614076,32.76239443408219,21.0,1.5601140206705804,False,False
(Q2_y_Bin_4)-(z_pT_Bin_34),13018.390107749363,225.6138649224531,-0.01118104356150472,0.008178863383293452,-0.019241735421943035,0.013435216846431067,16.34859891166489,21.0,0.7785047100792805,False,False
(Q2_y_Bin_5)-(z_pT_Bin_1),12304.891452675394,351.50055764155604,-0.14594126585491854,0.04722140977756965,-0.00272505257719389,0.001814594298380726,19.78294867880122,16.0,1.2364342924250762,False,False
(Q2_y_Bin_5)-(z_pT_Bin_2),13027.035052649859,346.04669222909615,-0.08845839868241404,0.06327750966113099,0.07886762344861116,0.02589554195965538,22.373028108981384,15.0,1.4915352072654255,False,False
(Q2_y_Bin_5)-(z_pT_Bin_3),13914.006341698243,205.15308367257785,-0.15615777813106502,0.02299360980657736,0.029999999948835485,0.014243133356647415,16.602970734122515,15.0,1.1068647156081677,False,False
(Q2_y_Bin_5)-(z_pT_Bin_4),15782.724391635415,244.93213854770875,-0.20234913628060736,0.02782004465459531,-0.004268037136514447,0.0028819221546124946,30.826704077200954,17.0,1.8133355339529973,False,False
(Q2_y_Bin_5)-(z_pT_Bin_5),16835.67921480277,157.2937261381121,-0.3513952590010742,0.014845084619211857,0.038558665478867285,0.012738722108687622,29.159419911822223,21.0,1.3885438053248678,False,False
(Q2_y_Bin_5)-(z_pT_Bin_6),13469.09792668724,167.38496831442535,-0.15000000002963956,0.0019597341178397704,0.005000000001394469,0.0017636296710378655,65.55925764176457,21.0,3.121869411512599,False,False
(Q2_y_Bin_5)-(z_pT_Bin_7),14547.693830777212,199.90416861203903,-0.08033479831535331,0.022190477639239377,-6.300482359114625e-09,6.453523452891941e-09,24.215202103988286,15.0,1.6143468069325524,False,False
(Q2_y_Bin_5)-(z_pT_Bin_8),14278.61639573907,274.3113169917042,-0.06536251091420593,0.04644063643459859,0.011323984625945058,0.007767679761062365,32.34377541780468,16.0,2.0214859636127924,False,False
(Q2_y_Bin_5)-(z_pT_Bin_9),14164.385968260944,187.13293496088045,-0.13800188063604724,0.02266074876411029,-0.022418725130961627,0.016778465925602677,17.759304897292747,17.0,1.044664993958397,False,False
(Q2_y_Bin_5)-(z_pT_Bin_10),14702.54055503801,135.73172490946945,-0.20749431184777725,0.015045018511874328,-0.0053652064628122425,0.003768957793545317,21.13961263722379,21.0,1.0066482208201806,False,False
(Q2_y_Bin_5)-(z_pT_Bin_11),12701.510692523394,99.47831723239051,-0.3451323186847043,0.011208714039986634,0.07108252259304947,0.010887216331872479,41.539742320122286,21.0,1.9780829676248708,False,False
(Q2_y_Bin_5)-(z_pT_Bin_12),15428.677873972061,161.3021138777467,-0.15000000004502562,0.0011242153986360526,0.00500000000941938,0.0009859379697853246,120.59918686442953,19.0,6.347325624443659,False,False
(Q2_y_Bin_5)-(z_pT_Bin_13),18958.71703384555,322.9224843089596,-0.03673702971729654,0.027562523675723247,0.01570115853321741,0.009622427617720676,12.532472681400996,16.0,0.7832795425875623,False,False
(Q2_y_Bin_5)-(z_pT_Bin_14),17804.350807975236,191.634251370544,-0.07464350790658622,0.017266046158494038,0.014207511205743144,0.010069813182523531,14.07950481688141,17.0,0.8282061656989065,False,False
(Q2_y_Bin_5)-(z_pT_Bin_15),16890.792616076375,138.8827322834859,-0.1246626890613858,0.013072695501269022,0.004676747768695632,0.003197199014523789,29.069155076010823,21.0,1.3842454798100392,False,False
(Q2_y_Bin_5)-(z_pT_Bin_16),15794.214013728224,110.11808862157159,-0.18874657097454955,0.01015338262093006,0.04048511182123239,0.009454327275479712,27.32466957936679,21.0,1.3011747418746091,False,False
(Q2_y_Bin_5)-(z_pT_Bin_17),11405.986771185282,83.08328492181408,-0.37128476609198435,0.01014186149650717,0.11999999978161327,0.05094335487257257,37.95160899537705,21.0,1.8072194759703357,False,False
(Q2_y_Bin_5)-(z_pT_Bin_18),18441.336103225167,179.97409802215407,-0.15000000022379398,0.0008812401657342928,0.00500000015680729,0.0006767302662207429,176.09162597481307,18.0,9.782868109711837,False,False
(Q2_y_Bin_5)-(z_pT_Bin_19),23347.78701802246,212.7167908583051,-0.03540279809578014,0.013036753912793058,-4.941983018005709e-11,4.136821560631923e-11,12.337888605244949,17.0,0.7257581532497028,False,False
